Date,Close,High,Low,Open,Volume
2020-01-02,72.7960,72.85661,71.54539,71.79987,135480400
2020-01-03,72.0883,72.85177,71.86290,72.02044,146322800
2020-01-06,72.85177,72.70149,70.95400,71.20607,118387200
2020-01-07,72.3210,72.92933,72.10043,72.67242,108872000
2020-01-08,73.4843,73.78730,72.02284,72.02284,132079200
2020-01-09,75.0452,75.23911,74.21389,74.46595,170108400
2020-01-10,75.2149,75.78203,74.71075,75.28032,140644800
2020-01-13,76.8218,76.84846,75.41363,75.53239,121532000
2020-01-14,75.7844,76.96963,75.66084,76.75877,161954400
2020-01-15,75.4597,76.46795,75.02584,75.58330,121923600
2020-01-16,76.4049,76.51640,75.64144,76.00500,108829200
2020-01-17,77.2508,77.25321,76.34675,76.65456,137816400
2020-01-21,76.7273,77.32108,76.58913,76.87755,110843200
2020-01-22,77.0012,77.55618,76.90662,77.21443,101832400
2020-01-23,77.3720,77.45195,76.50428,77.05447,104472000
2020-01-24,77.1490,78.36569,76.95752,77.61919,146537600
2020-01-27,74.8804,75.56389,73.89396,75.14944,161940000
2020-01-28,76.9987,77.17081,75.66569,75.76506,162234000
2020-01-29,78.6105,79.46120,77.89307,78.63715,216229200
2020-01-30,78.4966,78.54989,77.25563,77.68948,126743200
2020-01-31,75.0161,78.20814,74.72043,77.78399,199588400
2020-02-03,74.8101,75.98077,73.24926,73.75339,173788400
2020-02-04,77.2799,77.47135,76.01470,76.42188,136616400
2020-02-05,77.9100,78.71230,77.30412,78.41175,118826800
2020-02-06,78.8213,78.82377,77.62161,78.18149,105425600
2020-02-07,77.7500,78.56869,77.25678,78.31845,117684000
2020-02-10,78.1192,78.11923,76.24855,76.32872,109348800
2020-02-11,77.6479,78.69015,77.42926,78.61727,94323200
2020-02-12,79.4919,79.49675,78.09981,78.09981,113730400
2020-02-13,78.9258,79.25380,78.55654,78.76062,94747600
2020-02-14,78.9453,79.19549,78.43507,78.89424,80113600
2020-02-18,77.4997,77.68193,76.43319,76.61540,152531200
2020-02-19,78.6221,78.85293,77.74267,77.74267,93984000
2020-02-20,77.8155,78.87236,77.30779,78.38161,100566000
2020-02-21,76.0542,77.85200,75.43469,77.40741,129554000
2020-02-24,72.4416,73.89925,70.26721,72.21807,222195200
2020-02-25,69.9878,73.49841,69.51410,73.11456,230673600
2020-02-26,71.0981,72.36871,69.60398,69.61127,198054800
2020-02-27,66.4505,69.48251,66.31449,68.29207,320605600
2020-02-28,66.4117,67.63855,62.28402,62.50025,426510000
2020-03-02,72.5947,73.23360,67.47092,68.57876,341397200
2020-03-03,70.2891,73.85554,69.43392,73.77537,319475600
2020-03-04,73.5494,73.70977,71.21472,72.01887,219178400
2020-03-05,71.1637,72.77441,70.79684,71.79534,187572800
2020-03-06,70.2186,70.65352,68.32367,68.51073,226176800
2020-03-09,64.6649,67.56080,63.89475,64.07696,286744800
2020-03-10,69.3222,69.58942,65.44234,67.33003,285290000
2020-03-11,66.9146,68.32123,66.04726,67.39075,255598800
2020-03-12,60.3064,65.59538,60.25057,62.17956,418474000
2020-03-13,67.5317,68.00542,61.45316,64.35394,370732000
2020-03-16,58.8439,62.94241,58.30700,58.78075,322423600
2020-03-17,61.4313,62.58528,57.91829,60.13153,324056000
2020-03-18,59.9274,60.73646,57.60731,58.25112,300233600
2020-03-19,59.4683,61.42643,58.94110,60.10238,271857200
2020-03-20,55.6929,61.18105,55.39165,60.05135,401693200
2020-03-23,54.5098,55.51313,51.65272,55.41109,336752800
2020-03-24,59.9785,60.17526,56.92221,57.42268,287531200
2020-03-25,59.6481,62.74076,59.35167,60.91867,303602000
2020-03-26,62.7869,62.84523,59.85214,59.89102,252087200
2020-03-27,60.1874,62.16255,60.01977,61.40456,204216800
2020-03-30,61.9050,62.07752,60.59069,60.91624,167976400
2020-03-31,61.7787,63.77086,61.22236,62.09696,197002000
2020-04-01,58.5281,60.42549,58.09564,59.88615,176218400
2020-04-02,59.5047,59.55817,57.55387,58.38961,165934000
2020-04-03,58.6496,59.69179,58.05676,58.98725,129880000
2020-04-06,63.7660,63.92148,60.58584,60.95511,201820400
2020-04-07,63.0274,66.00838,62.92297,65.78972,202887200
2020-04-08,64.6406,64.95643,63.46475,63.83159,168895200
